Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","SW_TS-1187A-B-A-B",73.242641,-102.242641,0.000000,top
"SW2","SW_Push","SW_TS-1187A-B-A-B",73.242641,-114.242641,0.000000,top
"SW3","SW_Push","SW_TS-1187A-B-A-B",73.242641,-126.242641,0.000000,top
"SW4","SW_Push","SW_TS-1187A-B-A-B",73.242641,-138.242641,0.000000,top
"SW5","SW_Push","SW_TS-1187A-B-A-B",73.242641,-150.242641,0.000000,top
"SW6","SW_Push","SW_TS-1187A-B-A-B",73.242641,-162.242641,0.000000,top
"SW7","SW_Push","SW_TS-1187A-B-A-B",73.242641,-174.242641,0.000000,top
"SW8","SW_Push","SW_TS-1187A-B-A-B",87.242641,-102.242641,0.000000,top
"SW9","SW_Push","SW_TS-1187A-B-A-B",87.242641,-114.242641,0.000000,top
"SW10","SW_Push","SW_TS-1187A-B-A-B",87.242641,-126.242641,0.000000,top
"SW11","SW_Push","SW_TS-1187A-B-A-B",87.242641,-138.242641,0.000000,top
"SW12","SW_Push","SW_TS-1187A-B-A-B",87.242641,-150.242641,0.000000,top
"SW13","SW_Push","SW_TS-1187A-B-A-B",87.242641,-162.242641,0.000000,top
"SW14","SW_Push","SW_TS-1187A-B-A-B",87.242641,-174.242641,0.000000,top
"SW15","SW_Push","SW_TS-1187A-B-A-B",101.242641,-102.242641,0.000000,top
"SW16","SW_Push","SW_TS-1187A-B-A-B",101.242641,-114.242641,0.000000,top
"SW17","SW_Push","SW_TS-1187A-B-A-B",101.242641,-126.242641,0.000000,top
"SW18","SW_Push","SW_TS-1187A-B-A-B",101.242641,-138.242641,0.000000,top
"SW19","SW_Push","SW_TS-1187A-B-A-B",101.242641,-150.242641,0.000000,top
"SW20","SW_Push","SW_TS-1187A-B-A-B",101.242641,-162.242641,0.000000,top
"SW21","SW_Push","SW_TS-1187A-B-A-B",101.242641,-174.242641,0.000000,top
"SW22","SW_Push","SW_TS-1187A-B-A-B",115.242641,-102.242641,0.000000,top
"SW23","SW_Push","SW_TS-1187A-B-A-B",115.242641,-114.242641,0.000000,top
"SW24","SW_Push","SW_TS-1187A-B-A-B",115.242641,-126.242641,0.000000,top
"SW25","SW_Push","SW_TS-1187A-B-A-B",115.242641,-138.242641,0.000000,top
"SW26","SW_Push","SW_TS-1187A-B-A-B",115.242641,-150.242641,0.000000,top
"SW27","SW_Push","SW_TS-1187A-B-A-B",115.242641,-162.242641,0.000000,top
"SW28","SW_Push","SW_TS-1187A-B-A-B",115.242641,-174.242641,0.000000,top
"SW29","SW_Push","SW_TS-1187A-B-A-B",129.242641,-102.242641,0.000000,top
"SW30","SW_Push","SW_TS-1187A-B-A-B",129.242641,-114.242641,0.000000,top
"SW31","SW_Push","SW_TS-1187A-B-A-B",129.242641,-126.242641,0.000000,top
"SW32","SW_Push","SW_TS-1187A-B-A-B",129.242641,-138.242641,0.000000,top
"SW33","SW_Push","SW_TS-1187A-B-A-B",129.242641,-150.242641,0.000000,top
"SW34","SW_Push","SW_TS-1187A-B-A-B",129.242641,-162.242641,0.000000,top
"SW35","SW_Push","SW_TS-1187A-B-A-B",129.242641,-174.242641,0.000000,top
"SW36","Toggle_Switch","FanPinHeader_1x03_P2.54mm_Vertical",123.702641,-29.242641,0.000000,top
"SW37","KMR2","BTN_KMR2_4.6X2.8",82.242641,-30.242641,0.000000,top
"U5","3.5_SPI_TFT_LCD_RAW_DISPLAY","3.5_SPI_TFT_LCD_RAW_DISPLAY",59.337641,-34.087641,0.000000,top
"X1","USB_C","USB_C_CUSB31-CFM2AX-01-X",101.242641,-27.242641,180.000000,top
